Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
CarbonOffsets,"Environmental Technology, Carbon Offsetting, Blockchain",Environmental & Sustainability Services,United States,North America,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
CarbonStack,Technology/Software,Technology/Telecommunications,United States,North America,100,0.00%,100,0.00%,,,,,100,,1,100,100,0,100.00%
CarbonStory,"Sustainability, Carbon Offsetting",Environmental & Sustainability Services,United States,North America,300,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,300,0.00%
Carbonzero,Carbon offsetting,Environmental & Sustainability Services,United Kingdom,Europe,86,0.00%,86,0.00%,,,11,44,,31,2,29,31,55,36.05%
Carby Box,Energy and sustainability sector,Energy/Mining/Utilities,United States,North America,394,0.00%,160,0.00%,37,123,,,,,2,80,0,394,0.00%
CarbZone,Food and Beverage,Food and Beverage,United States,North America,84,0.00%,84,0.00%,84,,,,,,1,84,0,84,0.00%
CARE,Non-profit organization,Non-profit/Charity/Government/NGO,Austria,Europe,10,0.00%,10,0.00%,,,,10,,,1,10,0,10,0.00%
Care Connection,Healthcare,Healthcare/Pharmaceuticals,Germany,Europe,56,0.00%,56,0.00%,56,,,,,,1,56,0,56,0.00%
Care Cup,"Consumer Goods, Health & Wellness, Feminine Hygiene",Retail,Germany,Europe,100,0.00%,100,0.00%,,,,100,,,1,100,0,100,0.00%
Cargo Center Sweden AB,Logistics,Transportation/Logistics,Sweden,Europe,48,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,48,0.00%
Caribe Bay,Hospitality/Entertainment/Travel & Tourism,Travel & Tourism,Italy,Europe,200,0.00%,200,0.00%,,,,200,,,1,200,0,200,0.00%
Carl Knauber,Construction,Construction/Engineering,Germany,Europe,489,0.00%,489,0.00%,,489,,,,,1,489,0,489,0.00%
Carlson Wagonlit Travel,Travel and Tourism,Travel & Tourism,France,Europe,"2,995",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"2,995",0.00%
