Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
POLE HABITAT,Home Improvement/Furniture Retail,Retail,France,Europe,22,0.00%,22,0.00%,,,,22,,,1,22,0,22,0.00%
Polen Capital Management,Finance/Investment Banking,Financial Services,United States,North America,"1,742",0.00%,"1,742",0.00%,,,,,722,"1,020",1,871,"1,742",0,100.00%
Pollination Group,Environmental Services,Environmental & Sustainability Services,Australia,Oceania,"1,070",0.00%,"1,070",0.00%,,,,,,"1,070",0,"1,070","1,070",0,100.00%
Pommes Frites Candle Co.,Retail,Retail,Belgium,Europe,719,0.00%,719,0.00%,,,,,,719,0,719,719,0,100.00%
Pomona College,Education,Others,United States,North America,38,0.00%,38,0.00%,,,,,,38,0,38,38,0,100.00%
Pon Holdings B.V.,Fashion/Apparel,Apparel/Fashion,Spain,Europe,"167,597",0.23%,"167,597",0.26%,"50,000","50,000",,"35,772",,"31,825",3,"41,899","31,825","135,772",18.99%
POOL,Consumer Cyclical,Retail,United States,North America,62,0.00%,62,0.00%,,,,,,62,0,62,62,0,100.00%
Poonawalla,Pharmaceuticals/Healthcare,Healthcare/Pharmaceuticals,India,Asia,"3,070",0.00%,"1,525",0.00%,"1,525",,,,,,1,"1,525",0,"3,070",0.00%
Popkornditorei Knalle GmbH,Food and Beverage,Food and Beverage,Germany,Europe,110,0.00%,110,0.00%,,,,110,,,1,110,0,110,0.00%
Porsche,Automotive,Transportation/Logistics,Germany,Europe,"54,420",0.07%,"54,374",0.08%,831,"20,174",178,"33,191",,,4,"13,594",0,"54,420",0.00%
Port Metro Vancouver,Transportation/Logistics,Transportation/Logistics,Canada,North America,760,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,760,0.00%
Posidonia,"Marine conservation, environmental research",Environmental & Sustainability Services,Greece,Europe,86,0.00%,86,0.00%,,,,,86,,1,86,86,0,100.00%
Positive Planet,Sustainability Consulting,Consulting Services,United Kingdom,Europe,625,0.00%,625,0.00%,,,,,597,28,1,313,625,0,100.00%
Post Danmark,Logistics and postal services,Transportation/Logistics,Denmark,Europe,"1,326",0.00%,"1,326",0.00%,,"1,326",,,,,1,"1,326",0,"1,326",0.00%
Postcon Konsolidierungs GmbH,Logistics and transportation,Transportation/Logistics,Germany,Europe,16,0.00%,16,0.00%,,,16,,,,1,16,0,16,0.00%
Postcon National GmbH,Logistics and transportation,Transportation/Logistics,Germany,Europe,439,0.00%,439,0.00%,,439,,,,,1,439,0,439,0.00%
Poste Italiane,Financial Services,Financial Services,Italy,Europe,"10,000",0.01%,"10,000",0.02%,,,,,,"10,000",0,"10,000","10,000",0,100.00%
Posti Green,Logistics and transportation,Transportation/Logistics,Finland,Europe,"31,742",0.04%,"11,742",0.02%,,"3,622","8,120",,,,2,"5,871",0,"31,742",0.00%
Postkodlotteriet,Entertainment/lottery industry,Entertainment/Media/Sports,Sweden,Europe,"7,930",0.01%,"1,899",0.00%,,,,,,"1,899",0,"1,899","1,899","6,031",23.95%
PostNord,Logistics and transportation,Transportation/Logistics,Sweden,Europe,"10,233",0.01%,"10,233",0.02%,,"3,321","1,392","4,017","1,503",,4,"2,558","1,503","8,730",14.69%
Pounamu Protein,Food & Beverage,Food and Beverage,New Zealand,Oceania,47,0.00%,47,0.00%,,,,,,47,0,47,47,0,100.00%
Pow,"Technology, Information and Internet",Technology/Telecommunications,Argentina,South America,100,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,100,0.00%
Powell Fenwick Consultants Limited,Engineering Consulting,Consulting Services,New Zealand,Oceania,62,0.00%,62,0.00%,,,,,,62,0,62,62,0,100.00%
Powerday PLC,Waste management,Environmental & Sustainability Services,United Kingdom,Europe,978,0.00%,978,0.00%,,,,,,978,0,978,978,0,100.00%
Powerline,Energy/Utilities,Energy/Mining/Utilities,United States,North America,850,0.00%,850,0.00%,,,,,269,581,1,425,850,0,100.00%
Powerpeers B.V.,Energy,Energy/Mining/Utilities,Netherlands,Europe,250,0.00%,250,0.00%,,,,,,250,0,250,250,0,100.00%
PowerSpeaking,Public speaking training,Consulting Services,United States,North America,136,0.00%,136,0.00%,,,,,57,79,1,68,136,0,100.00%
PPC Group,Business/Consulting Services,Consulting Services,South Africa,Africa,"2,793",0.00%,"2,793",0.00%,,,"2,793",,,,1,"2,793",0,"2,793",0.00%
PPURA,Fashion/Apparel,Apparel/Fashion,Italy,Europe,"1,500",0.00%,"1,500",0.00%,,,,"1,500",,,1,"1,500",0,"1,500",0.00%
Prada,Fashion and Luxury Goods,Apparel/Fashion,Italy,Europe,"14,700",0.02%,"14,700",0.02%,,,,"14,700",,,1,"14,700",0,"14,700",0.00%
Präg Energie,Energy,Energy/Mining/Utilities,Germany,Europe,"1,400",0.00%,"1,400",0.00%,,,,,,"1,400",0,"1,400","1,400",0,100.00%
Precinct Properties New Zealand Limited,Real Estate/Property Development,Construction/Engineering,New Zealand,Oceania,"8,587",0.01%,"6,753",0.01%,,,"1,287",,"4,862",604,2,"2,251","5,466","3,121",63.65%
Precision Industries,Manufacturing/Industrial Sector,Construction/Engineering,United States,North America,"10,925",0.01%,0,0.00%,0,0,0,0,0,0,5,0,0,"10,925",0.00%
Precon Limited,Construction,Construction/Engineering,United Kingdom,Europe,25,0.00%,25,0.00%,,,,,,25,0,25,25,0,100.00%
Premier,Hospitality or luxury goods,Retail,United States,North America,"1,191",0.00%,"1,191",0.00%,,,,,921,270,1,596,"1,191",0,100.00%
Premier Hygiene,Manufacturing - Personal Care Products,Manufacturing/Engineering,United Kingdom,Europe,"9,496",0.01%,"9,496",0.01%,,,,,,"9,496",0,"9,496","9,496",0,100.00%
PREMIUM,Luxury goods or high-end products,Retail,France,Europe,150,0.00%,150,0.00%,,,,150,,,1,150,0,150,0.00%
PRfektkontor,Office Supplies,Retail,Sweden,Europe,20,0.00%,20,0.00%,20,,,,,,1,20,0,20,0.00%
PricewaterhouseCoopers,Professional services/consulting,Consulting Services,United States,North America,"199,160",0.27%,"164,160",0.25%,"59,872","6,228","42,954","45,443","3,481","6,182",5,"27,360","9,663","189,497",4.85%
Pricon,Construction,Construction/Engineering,Germany,Europe,100,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,100,0.00%
PRIMAKLIMA,Environmental conservation and sustainability,Environmental & Sustainability Services,Germany,Europe,"187,686",0.25%,"164,548",0.25%,"5,989","5,429","30,599","32,843","31,540","58,148",5,"27,425","89,688","97,998",47.79%
Primakod,Software,Technology/Telecommunications,India,Asia,13,0.00%,13,0.00%,13,,,,,,1,13,0,13,0.00%
Prime Secure Systems,Security,Technology/Telecommunications,United Kingdom,Europe,63,0.00%,63,0.00%,,,,,63,,1,63,63,0,100.00%
Primeo Energie,Energy sector,Energy/Mining/Utilities,Switzerland,Europe,530,0.00%,530,0.00%,,,,65,465,,2,265,465,65,87.74%
Primo Espresso,Food and Beverage,Food and Beverage,Italy,Europe,"4,858",0.01%,846,0.00%,,,,,,846,0,846,846,"4,012",17.41%
Primus,Technology/Telecommunications,Technology/Telecommunications,United States,North America,950,0.00%,950,0.00%,950,,,,,,1,950,0,950,0.00%
Pringle Beleski,Fashion/Apparel,Apparel/Fashion,United States,North America,399,0.00%,399,0.00%,,,,,399,,1,399,399,0,100.00%
Print IT Awards,Printing and Graphic Arts,Manufacturing/Engineering,United Kingdom,Europe,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
Printmedien Biewald,Printing and Publishing,Entertainment/Media/Sports,Germany,Europe,17,0.00%,17,0.00%,,,,,,17,0,17,17,0,100.00%
Pro Clima,Building materials,Construction/Engineering,Germany,Europe,71,0.00%,71,0.00%,,,71,,,,1,71,0,71,0.00%
Procesos y Soluciones Ambientales S.A.S.,Environmental Services,Environmental & Sustainability Services,Colombia,South America,73,0.00%,73,0.00%,,,,,73,,1,73,73,0,100.00%
Procter & Gamble,Consumer Goods,Retail,United States,North America,131,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,131,0.00%
Procurri Europe Limited,Technology/IT Services,Technology/Telecommunications,United Kingdom,Europe,"1,017",0.00%,"1,017",0.00%,,,,,517,500,1,509,"1,017",0,100.00%
Product Studio,Marketing and Advertising,Advertising/Marketing/PR,United Kingdom,Europe,73,0.00%,73,0.00%,,,20,,,53,1,37,53,20,72.60%
Profile Security Services,Security Services,Others,United Kingdom,Europe,10,0.00%,10,0.00%,,,,,10,,1,10,10,0,100.00%
Project Climate,Environmental consulting or sustainability industry,Consulting Services,United States,North America,"19,942",0.03%,"9,171",0.01%,,"8,025","1,146",,,,2,"4,586",0,"19,942",0.00%
Proline,Advertising & Marketing,Advertising/Marketing/PR,United States,North America,16,0.00%,16,0.00%,,,,,,16,0,16,16,0,100.00%
Pronuvo,Pharmaceuticals,Healthcare/Pharmaceuticals,Switzerland,Europe,85,0.00%,85,0.00%,,,,85,,,1,85,0,85,0.00%
Property Management Company,Real Estate,Others,United Kingdom,Europe,47,0.00%,47,0.00%,,,,,47,,1,47,47,0,100.00%
Proske,Event Management,Advertising/Marketing/PR,Germany,Europe,27,0.00%,27,0.00%,,,,,,27,0,27,27,0,100.00%
Protected.net,Cybersecurity,Technology/Telecommunications,United States,North America,73,0.00%,73,0.00%,,,,,73,,1,73,73,0,100.00%
Providence Wealth Advisory Group,Financial Services,Financial Services,United States,North America,250,0.00%,250,0.00%,,,,,,250,0,250,250,0,100.00%
ProVita,Healthcare,Healthcare/Pharmaceuticals,Thailand,Asia,161,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,161,0.00%
Prowash,Car Wash,Retail,Sweden,Europe,10,0.00%,10,0.00%,,,,10,,,1,10,0,10,0.00%
proWIN,"Direct selling, household goods",Retail,Germany,Europe,12,0.00%,12,0.00%,,12,,,,,1,12,0,12,0.00%
ProxiFuel,Energy/Utilities,Energy/Mining/Utilities,Belgium,Europe,"163,650",0.22%,"163,650",0.25%,,,"53,578","63,766","46,306",,3,"54,550","46,306","117,344",28.30%
Proximus,Telecommunications,Technology/Telecommunications,Belgium,Europe,"5,949",0.01%,"5,949",0.01%,,,,,,"5,949",0,"5,949","5,949",0,100.00%
PST,Technology/Software,Technology/Telecommunications,United States,North America,"1,000",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,000",0.00%
Publit,Technology/Software,Technology/Telecommunications,Sweden,Europe,168,0.00%,168,0.00%,,,,168,,,1,168,0,168,0.00%
Pulse Energy Alliance,Energy,Energy/Mining/Utilities,United States,North America,706,0.00%,706,0.00%,,,,,,706,0,706,706,0,100.00%
PUMA,Apparel and Footwear,Apparel/Fashion,Germany,Europe,50,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,50,0.00%
PunaMusta,Fashion/Apparel,Apparel/Fashion,Finland,Europe,"1,000",0.00%,"1,000",0.00%,,,"1,000",,,,1,"1,000",0,"1,000",0.00%
Punkkinen,Food and Beverage,Food and Beverage,Finland,Europe,33,0.00%,33,0.00%,33,,,,,,1,33,0,33,0.00%
Purity Coffee,Food and Beverage,Food and Beverage,United States,North America,224,0.00%,224,0.00%,,,,,88,136,1,112,224,0,100.00%
Purity IT,Information Technology,Technology/Telecommunications,United States,North America,24,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,24,0.00%
PUSCH,Retail,Retail,Germany,Europe,11,0.00%,11,0.00%,,,11,,,,1,11,0,11,0.00%
Pusteblume Naturkost,Food and Beverage,Food and Beverage,Germany,Europe,48,0.00%,48,0.00%,,16,,32,,,2,24,0,48,0.00%
PyhÃ¤tunturi,Travel & Tourism,Travel & Tourism,Finland,Europe,194,0.00%,194,0.00%,,,194,,,,1,194,0,194,0.00%
Pyramid Lines,Travel and tourism,Travel & Tourism,Egypt,Africa,"20,000",0.03%,"20,000",0.03%,,,"1,700","15,956","2,344",,3,"6,667","2,344","17,656",11.72%
Q-Lite,Lighting industry,Manufacturing/Engineering,Qatar,Middle East,154,0.00%,154,0.00%,,,,,,154,0,154,154,0,100.00%
Q5 Partners,Consulting or financial services,Consulting Services,United States,North America,450,0.00%,450,0.00%,,,,,450,,1,450,450,0,100.00%
Qantas,Airline,Transportation/Logistics,Australia,Oceania,"53,110",0.07%,"53,110",0.08%,,,,,83,"53,027",1,"26,555","53,110",0,100.00%
Qapital Ltd.,Financial Services,Financial Services,Sweden,Europe,272,0.00%,272,0.00%,,,,,272,,1,272,272,0,100.00%
Qatar Airways,Airline,Transportation/Logistics,Qatar,Middle East,"3,823",0.01%,"3,823",0.01%,,,,,,"3,823",0,"3,823","3,823",0,100.00%
QBE,Insurance,Financial Services,Australia,Oceania,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
QBOX,Technology,Technology/Telecommunications,United States,North America,56,0.00%,56,0.00%,,,56,,,,1,56,0,56,0.00%
QE Homes,Real Estate,Others,United States,North America,266,0.00%,266,0.00%,,,,80,186,,2,133,186,80,69.92%
QMPF,Financial Services,Financial Services,United Kingdom,Europe,90,0.00%,90,0.00%,90,,,,,,1,90,0,90,0.00%
QSCert,Certification,Others,Germany,Europe,24,0.00%,24,0.00%,,,24,,,,1,24,0,24,0.00%
Qualcomm,Semiconductors,Technology/Telecommunications,United States,North America,75,0.00%,75,0.00%,20,,,55,,,2,38,0,75,0.00%
Quality Building Services,Construction,Construction/Engineering,United Kingdom,Europe,45,0.00%,45,0.00%,,,,,13,32,1,23,45,0,100.00%
Quantcast,Technology/Advertising Technology,Advertising/Marketing/PR,United States,North America,200,0.00%,200,0.00%,,,,200,,,1,200,0,200,0.00%
Queens Ballpark Company,Sports/Entertainment,Entertainment/Media/Sports,United States,North America,"2,761",0.00%,"2,761",0.00%,,,,"2,761",,,1,"2,761",0,"2,761",0.00%
Queensland Chamber of Commerce and Industry,Business and Trade Organization,Consulting Services,Australia,Oceania,55,0.00%,55,0.00%,,,,,,55,0,55,55,0,100.00%
Querbeet GmbH,Food and beverage industry,Food and Beverage,Germany,Europe,410,0.00%,410,0.00%,,410,,,,,1,410,0,410,0.00%
Química Industrial del Sur,Chemicals,Manufacturing/Engineering,Argentina,South America,122,0.00%,84,0.00%,14,15,15,20,20,,5,17,20,102,16.39%
QUIPORT,Transportation/Aviation,Transportation/Logistics,Ecuador,South America,"2,565",0.00%,"2,565",0.00%,,,,"2,565",,,1,"2,565",0,"2,565",0.00%
Quod Inc.,Software,Technology/Telecommunications,United States,North America,190,0.00%,190,0.00%,,,,,72,118,1,95,190,0,100.00%
R+B Dise√±o Experimental,"Design, Engineering, Research and Development",Manufacturing/Engineering,Colombia,South America,20,0.00%,20,0.00%,,,,,20,,1,20,20,0,100.00%
R+B Diseño Experimental SASBIC,Design and Experimental Services,Consulting Services,Colombia,South America,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
R3,Technology/Blockchain,Technology/Telecommunications,United States,North America,152,0.00%,152,0.00%,,,,,152,,1,152,152,0,100.00%
Radicle,Software,Technology/Telecommunications,United States,North America,18,0.00%,18,0.00%,,,18,,,,1,18,0,18,0.00%
Radicle Group Inc.,Consulting or technology industry,Technology/Telecommunications,United States,North America,143,0.00%,143,0.00%,,,,143,,,1,143,0,143,0.00%
Radio Frequency Systems,Telecommunications,Technology/Telecommunications,Germany,Europe,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
RADIO NEXT GENERATION,Media and Entertainment,Entertainment/Media/Sports,Germany,Europe,85,0.00%,85,0.00%,,,41,20,24,,3,28,24,61,28.24%
Radisson,Hospitality/Hotel industry,Travel & Tourism,Belgium,Europe,"7,444",0.01%,"7,444",0.01%,,,,,888,"6,556",1,"3,722","7,444",0,100.00%
Raditel,Telecommunications,Technology/Telecommunications,Greece,Europe,47,0.00%,47,0.00%,,17,15,15,,,3,16,0,47,0.00%
Raglan Food Co,Food and Beverage,Food and Beverage,New Zealand,Oceania,200,0.00%,200,0.00%,,,,200,,,1,200,0,200,0.00%
Raiffeisenbank,Banking/Financial Services,Financial Services,Austria,Europe,330,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,330,0.00%
Rainforest Alliance,Non-profit organization,Non-profit/Charity/Government/NGO,United States,North America,45,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,45,0.00%
Rajapack,Packaging industry,Manufacturing/Engineering,France,Europe,347,0.00%,347,0.00%,,,,,,347,0,347,347,0,100.00%
Raketspel,Sporting Goods,Retail,Sweden,Europe,20,0.00%,20,0.00%,,20,,,,,1,20,0,20,0.00%
Ralph Lauren,Fashion/Apparel,Apparel/Fashion,United States,North America,127,0.00%,127,0.00%,,,,,,127,0,127,127,0,100.00%
Ramirez & Castillo,Food and Beverage,Food and Beverage,Colombia,South America,542,0.00%,287,0.00%,94,76,41,51,25,,5,57,25,517,4.61%
Ramudden,Construction and infrastructure sector,Construction/Engineering,Sweden,Europe,418,0.00%,418,0.00%,,,418,,,,1,418,0,418,0.00%
Range,Energy - Oil & Gas E&P,Energy/Mining/Utilities,United States,North America,"100,000",0.13%,"100,000",0.15%,,,,,,"100,000",0,"100,000","100,000",0,100.00%
Rapport Worldwide,Advertising/Marketing/Communications,Advertising/Marketing/PR,United States,North America,325,0.00%,325,0.00%,,325,,,,,1,325,0,325,0.00%
Rapunzel of Sweden,Hair care,Apparel/Fashion,Sweden,Europe,107,0.00%,107,0.00%,62,,45,,,,2,54,0,107,0.00%
RARE,Fashion/Apparel,Apparel/Fashion,United Kingdom,Europe,"1,000",0.00%,"1,000",0.00%,,,,500,500,,2,500,500,500,50.00%
RARIK,Software,Technology/Telecommunications,Iceland,Europe,"2,594",0.00%,"2,594",0.00%,,,325,175,,"2,094",2,865,"2,094",500,80.72%
Ratos AB,Investment company,Financial Services,Sweden,Europe,180,0.00%,180,0.00%,,,81,42,57,,3,60,57,123,31.67%
Ravensberger,Consumer goods,Retail,Germany,Europe,400,0.00%,400,0.00%,,,,,400,,1,400,400,0,100.00%
Rawstone Consulting,Management Consulting,Consulting Services,United Kingdom,Europe,23,0.00%,23,0.00%,,,,23,,,1,23,0,23,0.00%
Rayons d'Espoir,Non-profit organization,Non-profit/Charity/Government/NGO,France,Europe,25,0.00%,25,0.00%,,,,,25,,1,25,25,0,100.00%
RB Leipzig,Sports,Entertainment/Media/Sports,Germany,Europe,52,0.00%,52,0.00%,,,,,,52,0,52,52,0,100.00%
RBFA,Retail,Retail,United States,North America,"4,052",0.01%,"2,015",0.00%,,,"2,015",,,,1,"2,015",0,"4,052",0.00%
RBS,Banking,Financial Services,United Kingdom,Europe,620,0.00%,620,0.00%,,,,,,620,0,620,620,0,100.00%
Rdot,Automotive,Transportation/Logistics,Germany,Europe,10,0.00%,10,0.00%,,10,,,,,1,10,0,10,0.00%
Reaching Higher Ground,Education/Personal Development,Others,United States,North America,627,0.00%,627,0.00%,627,,,,,,1,627,0,627,0.00%
Reaktor,Technology Consulting,Consulting Services,Finland,Europe,"1,119",0.00%,"1,119",0.00%,36,,,"1,083",,,2,560,0,"1,119",0.00%
Real Wrap,Food & Beverage,Food and Beverage,United States,North America,"1,018",0.00%,"1,018",0.00%,,,,,,"1,018",0,"1,018","1,018",0,100.00%
Reale,Insurance,Financial Services,Spain,Europe,"2,380",0.00%,"2,380",0.00%,,,,,,"2,380",0,"2,380","2,380",0,100.00%
Reale Mutua,Insurance,Financial Services,Italy,Europe,"19,294",0.03%,"19,294",0.03%,,,,,,"19,294",0,"19,294","19,294",0,100.00%
Rebel Green,Household goods or cleaning products,Retail,United States,North America,"1,300",0.00%,"1,000",0.00%,,"1,000",,,,,1,"1,000",0,"1,300",0.00%
Recarbon,Trading,Financial Services,Australia,Oceania,"98,292",0.13%,"98,292",0.15%,,,,,,"98,292",0,"98,292","98,292",0,100.00%
Recheis,Food and beverage industry,Food and Beverage,Austria,Europe,"1,351",0.00%,"1,351",0.00%,"1,351",,,,,,1,"1,351",0,"1,351",0.00%
Recognition Express,Printing and Marketing Services,Advertising/Marketing/PR,United Kingdom,Europe,100,0.00%,50,0.00%,50,,,,,,1,50,0,100,0.00%
reconcept,Marketing and Advertising,Advertising/Marketing/PR,Germany,Europe,75,0.00%,75,0.00%,,,,75,,,1,75,0,75,0.00%
Recuperadora Biológica de Solventes S.A.,Environmental Services,Environmental & Sustainability Services,Mexico,North America,86,0.00%,86,0.00%,25,,29,32,,,3,29,0,86,0.00%
Red Blue,Information Technology,Technology/Telecommunications,United States,North America,71,0.00%,71,0.00%,,,,,,71,0,71,71,0,100.00%
RED BULL,Beverage/ Energy Drink,Food and Beverage,Austria,Europe,"13,964",0.02%,"13,964",0.02%,,,"7,000","6,964",,,2,"6,982",0,"13,964",0.00%
Red Rose,Packaging,Manufacturing/Engineering,United Kingdom,Europe,79,0.00%,79,0.00%,,,,,,79,0,79,79,0,100.00%
Red Stag Materials Ltd,Materials,Manufacturing/Engineering,Canada,North America,106,0.00%,106,0.00%,,,,,,106,0,106,106,0,100.00%
Refood,Food Waste Reduction,Environmental & Sustainability Services,Denmark,Europe,100,0.00%,100,0.00%,,,,,100,,1,100,100,0,100.00%
Refreshment Systems,Food and Beverage,Food and Beverage,United States,North America,434,0.00%,434,0.00%,,,,,,434,0,434,434,0,100.00%
Regen Market,Regenerative Agriculture Network,Agriculture/Agribusiness/Resources,United States,North America,149,0.00%,149,0.00%,,,,149,,,1,149,0,149,0.00%
Regent Office Care Ltd,Office Supplies/Office Services,Others,United Kingdom,Europe,212,0.00%,212,0.00%,,,,,212,,1,212,212,0,100.00%
ReGreen,Environmental sustainability or renewable energy sector,Energy/Mining/Utilities,United States,North America,"8,275",0.01%,"6,775",0.01%,,,25,,"6,750",,2,"3,388","6,750","1,525",81.57%
Reho Travel,Travel Agency,Travel & Tourism,Australia,Oceania,172,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,172,0.00%
REI Co-op,Retail - Outdoor and Sporting Goods,Retail,Germany,Europe,"160,768",0.22%,"132,189",0.20%,"9,800","24,568","34,058","35,086","28,677",,5,"26,438","28,677","132,091",17.84%
Reiknistofa,Financial Services,Financial Services,Iceland,Europe,10,0.00%,10,0.00%,,,,,10,,1,10,10,0,100.00%
Reima,Apparel & Accessories,Apparel/Fashion,Finland,Europe,191,0.00%,191,0.00%,,,,,,191,0,191,191,0,100.00%
Reiter,Textiles,Apparel/Fashion,Germany,Europe,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
Reka,Manufacturing,Manufacturing/Engineering,Hungary,Europe,134,0.00%,134,0.00%,,,,,134,,1,134,134,0,100.00%
Rekon,Cybersecurity,Technology/Telecommunications,United States,North America,16,0.00%,16,0.00%,,,,,16,,1,16,16,0,100.00%
Relaxshoe,Footwear/ Fashion industry,Apparel/Fashion,Italy,Europe,447,0.00%,447,0.00%,,,,,447,,1,447,447,0,100.00%
RELEX,Software - Enterprise Software,Technology/Telecommunications,Finland,Europe,"6,000",0.01%,"6,000",0.01%,,,,,,"6,000",0,"6,000","6,000",0,100.00%
Reliance,Energy,Energy/Mining/Utilities,India,Asia,100,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,100,0.00%
Reliance Transport Limited,Transportation Service,Transportation/Logistics,New Zealand,Oceania,"7,391",0.01%,"4,575",0.01%,,,,,"3,316","1,259",1,"2,288","4,575","2,816",61.90%
Rematec,Automotive,Transportation/Logistics,Netherlands,Europe,"2,300",0.00%,"2,300",0.00%,,,,,,"2,300",0,"2,300","2,300",0,100.00%
Rémi FAURE,Luxury Goods,Retail,France,Europe,72,0.00%,72,0.00%,,72,,,,,1,72,0,72,0.00%
Remi Le Priol,Fashion,Apparel/Fashion,France,Europe,14,0.00%,14,0.00%,14,,,,,,1,14,0,14,0.00%
Rémy Cointreau,Beverages,Food and Beverage,France,Europe,10,0.00%,10,0.00%,,,,,,10,0,10,10,0,100.00%
RenSti IVS,Small business/consulting services,Consulting Services,Sweden,Europe,"7,990",0.01%,"7,990",0.01%,"5,590","2,400",,,,,2,"3,995",0,"7,990",0.00%
Repha,Pharmaceuticals/Healthcare,Healthcare/Pharmaceuticals,Switzerland,Europe,106,0.00%,106,0.00%,,,,106,,,1,106,0,106,0.00%
Republica,"Coffee Roaster, Coffee Shop",Food and Beverage,Costa Rica,North America,26,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,26,0.00%
Resolve,Consulting and Business Services,Consulting Services,United States,North America,28,0.00%,28,0.00%,,,,,,28,0,28,28,0,100.00%
Resource Futures,Financial Services,Financial Services,Australia,Oceania,613,0.00%,613,0.00%,55,147,,233,,178,3,153,178,435,29.04%
Respira,Healthcare,Healthcare/Pharmaceuticals,India,Asia,"3,028",0.00%,"3,028",0.00%,,,,,99,"2,929",1,"1,514","3,028",0,100.00%
Resurs Bank,Financial services,Financial Services,Sweden,Europe,916,0.00%,916,0.00%,,,,,458,458,1,458,916,0,100.00%
Retarus,Information Technology,Technology/Telecommunications,Germany,Europe,20,0.00%,20,0.00%,,,,,20,,1,20,20,0,100.00%
Rete Clima,"HVAC (Heating, Ventilation, and Air Conditioning)",Construction/Engineering,Italy,Europe,25,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,25,0.00%
Reuzi,Reusable Products,Environmental & Sustainability Services,Ireland,Europe,49,0.00%,49,0.00%,,,38,,,11,1,25,11,38,22.45%
Reverb,Music/Entertainment industry,Entertainment/Media/Sports,United States,North America,"15,293",0.02%,"15,293",0.02%,"2,627",,,"12,616",50,,3,"5,098",50,"15,243",0.33%
Rexab,Personal care/beauty industry,Retail,United States,North America,201,0.00%,201,0.00%,201,,,,,,1,201,0,201,0.00%
Rexall,Pharmacy/Healthcare,Healthcare/Pharmaceuticals,Canada,North America,227,0.00%,227,0.00%,227,,,,,,1,227,0,227,0.00%
Reykjavik Data ehf.,Banking,Financial Services,Iceland,Europe,155,0.00%,155,0.00%,,,,,,155,0,155,155,0,100.00%
RG Group,Construction and real estate industry,Construction/Engineering,India,Asia,"2,022",0.00%,525,0.00%,292,,,233,,,2,263,0,"2,022",0.00%
RheinEnergie,Energy & Utilities,Energy/Mining/Utilities,Germany,Europe,"21,954",0.03%,"18,085",0.03%,900,"5,975",,"9,210","2,000",,4,"4,521","2,000","19,954",9.11%
RheinEnergie AG,Energy,Energy/Mining/Utilities,Germany,Europe,"1,832",0.00%,"1,832",0.00%,,,,,,"1,832",0,"1,832","1,832",0,100.00%
RheinEnergie Trading GmbH,Energy,Energy/Mining/Utilities,Germany,Europe,15,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,15,0.00%
Rhino Ark,Environmental Conservation/Non-profit sector,Environmental & Sustainability Services,Kenya,Africa,824,0.00%,824,0.00%,299,,,255,270,,3,275,270,554,32.77%
Rhino Ark Kenya,Charity/Non-profit,Non-profit/Charity/Government/NGO,Kenya,Africa,397,0.00%,397,0.00%,,,,,,397,0,397,397,0,100.00%
Rhodius,Beverage industry,Food and Beverage,Germany,Europe,"3,466",0.00%,"3,466",0.01%,,"1,875",193,216,,"1,182",3,867,"1,182","2,284",34.10%
RIB,Construction,Construction/Engineering,Germany,Europe,81,0.00%,81,0.00%,,,,81,,,1,81,0,81,0.00%
Ricardo Energy and Environment,Engineering Consulting,Consulting Services,United Kingdom,Europe,536,0.00%,536,0.00%,,438,,98,,,2,268,0,536,0.00%
Richardson,Agriculture/food processing,Food and Beverage,United States,North America,479,0.00%,479,0.00%,,,,,479,,1,479,479,0,100.00%
Richemont,Luxury goods sector,Retail,Switzerland,Europe,"358,000",0.48%,"301,000",0.46%,"107,000","100,000","74,000",,"20,000",,4,"75,250","20,000","338,000",5.59%
